Unit_Cost,Total_Revenue,Total_Profit,Unnamed: 9,Unnamed: 10
-31.628000000000014,1160166.3169,509728.51600000006,,
-73.938,-796704.8831,-193275.62399999995,,
333.91200000000003,-214985.09309999994,-217083.23399999994,,
-184.12800000000001,-1297896.0231,-422156.16399999993,,
333.91200000000003,1922937.3369,197395.51600000006,,
-31.628000000000014,-614284.9631,-156594.34399999992,,
311.492,1424558.8069000002,252229.52600000007,,
-100.118,-128374.7631000001,68534.67600000004,,
-134.378,-877386.5831,-289567.7839999999,,
-73.938,-17307.58309999993,142391.88600000006,,
-100.118,-1354384.2431,-433853.86399999994,,
-155.208,-918008.6431,-135584.06399999995,,
-155.208,-470507.0431,165152.73600000003,,
311.492,4623567.2969,1045579.0360000001,,
-134.378,-972928.9531,-318862.92399999994,,
-155.208,-1190662.2431,-318816.86399999994,,
72.28199999999998,1665926.7168999999,767062.256,,
-159.258,-1115834.1831,-356648.18399999995,,
311.492,1185986.4169,193063.91600000008,,
173.642,1119038.4369,-103744.38399999996,,
-31.628000000000014,528348.3169,272475.01600000006,,
-31.628000000000014,-1048516.2431000001,-319652.2039999999,,
-93.608,-1033997.1831,-318995.48399999994,,
-184.12800000000001,-1353082.9731,-436411.31399999995,,
-134.378,-959116.5831,-314627.7839999999,,
72.28199999999998,-579969.6831,-126107.93399999995,,
-184.12800000000001,-1323124.3431,-428672.80399999995,,
-184.12800000000001,-1319168.4231,-427650.9639999999,,
-159.258,-1130353.8831,-361440.144,,
311.492,210312.21689999988,-48901.88399999996,,
72.28199999999998,2413101.5169,1064206.0860000001,,
-134.378,-1199811.4331,-388429.48399999994,,
333.91200000000003,530650.3569,-72526.98399999994,,
311.492,4139739.8169,925590.5160000001,,
-93.608,-255534.0231000001,-37671.20399999991,,
-134.378,-849680.1131,-281072.4439999999,,
-184.12800000000001,-1338182.9631,-432562.54399999994,,
173.642,637661.9468999999,-169009.58399999992,,
333.91200000000003,2994828.9968999997,405203.01600000006,,
333.91200000000003,1222886.5869,61676.76600000006,,
-134.378,-1127071.7331,-366126.0839999999,,
72.28199999999998,1789217.1168999998,816093.5960000001,,
-73.938,-938020.7831,-254136.95399999994,,
-100.118,-1347143.4231,-430886.75399999996,,
-155.208,-725457.2831,-6182.783999999927,,
-73.938,-1175604.2831000001,-356458.4039999999,,
72.28199999999998,2503164.7169,1100023.306,,
-134.378,-1351175.3931,-434840.60399999993,,
-155.208,-516513.9231,134234.49600000004,,
333.91200000000003,-549055.8231,-281849.48399999994,,
-155.208,-1125531.3631,-275046.62399999995,,
-184.12800000000001,-1283863.7031,-418531.5239999999,,
-73.938,-537728.5831,-81740.81399999995,,
333.91200000000003,877745.2869000002,-5235.7339999999385,,
-184.12800000000001,-1302234.4731,-423276.81399999995,,
-155.208,-992974.7231000001,-185963.90399999995,,
-155.208,-291069.2831000001,285741.216,,
72.28199999999998,-128779.28310000012,53325.906000000075,,
311.492,-1185035.5431,-394946.12399999995,,
72.28199999999998,1780910.3169,812790.0660000001,,
-73.938,-1233200.2831000001,-381263.60399999993,,
-31.628000000000014,-160907.68310000002,13653.016000000061,,
333.91200000000003,2219889.0969,254965.51600000006,,
-155.208,-705131.2031,7477.0560000000405,,
72.28199999999998,-628061.6831,-145233.63399999996,,
72.28199999999998,583856.7168999999,336734.00600000005,,
-134.378,-666032.8031,-224762.62399999995,,
-155.208,-772666.2431000001,-37908.86399999994,,
333.91200000000003,4023089.5868999995,604551.7660000001,,
-155.208,-571153.9231,97514.49600000004,,
333.91200000000003,1889074.4169,190830.51600000006,,
-184.12800000000001,-1367208.5931,-440060.05399999995,,
-159.258,-1101077.2331,-351777.92399999994,,
-73.938,407051.51689999993,325153.0560000001,,
72.28199999999998,2951294.7169000003,1278240.056,,
311.492,3273661.8969,710804.436,,
-159.258,-928454.1331,-294806.8439999999,,
-100.118,-798535.7631,-206080.82399999994,,
-31.628000000000014,825494.2368999999,384056.0560000001,,
72.28199999999998,2847241.1169,1236858.996,,
311.492,1642414.8268999998,306257.50600000005,,
-155.208,-511924.1631,137318.97600000002,,
72.28199999999998,1463503.1168999998,686560.446,,
-93.608,-750198.3831,-216435.08399999994,,
-100.118,-378722.2631,-34051.573999999964,,
-134.378,-848617.6231,-280746.66399999993,,
-159.258,-954551.6331,-303419.8439999999,,
-31.628000000000014,45613.836899999995,91203.75600000005,,
-184.12800000000001,-1368617.4231,-440423.9639999999,,
-159.258,-1152370.6831,-368706.38399999996,,
333.91200000000003,-756140.6031000001,-321996.98399999994,,
-159.258,-927979.6331,-294650.24399999995,,
333.91200000000003,-57392.27310000011,-186530.73399999994,,
72.28199999999998,2084764.3169,933629.716,,
-159.258,-986485.4831000001,-313959.0239999999,,
-155.208,-1276447.0431000001,-376467.26399999997,,
-184.12800000000001,-1315016.5731,-426578.51399999997,,
-100.118,-1144708.5831,-347933.93399999995,,
-134.378,-902150.7731000001,-297160.9639999999,,
311.492,2213117.4069,447790.9260000001,,
